Date,Open,High,Low,Close,Adj Close,Volume,Daily Change,
14/10/2019,0.935863,0.951625,0.921086,0.951428,0.860876,18913395,0.75%,
15/10/2019,0.960491,0.982755,0.947882,0.98177,0.88833,29690042,3.19%,
16/10/2019,0.978223,1.009747,0.962659,1.002359,0.90696,47710250,2.10%,
17/10/2019,0.99103,1.028957,0.980982,1.002359,0.90696,35100370,0.00%,
18/10/2019,0.996941,1.023539,0.989552,1.006792,0.910971,30314852,0.44%,
21/10/2019,1.011225,1.050137,1.011225,1.044719,0.945288,47190604,3.77%,
22/10/2019,1.040779,1.051122,1.016151,1.024031,0.926569,25012867,-1.98%,
23/10/2019,1.007777,1.03339,1.004329,1.027479,0.929689,46403297,0.34%,
24/10/2019,1.011717,1.03339,0.990045,0.997433,0.902503,25762211,-2.92%,
25/10/2019,1.03339,1.03339,0.99103,0.999404,0.904286,21935851,0.20%,
28/10/2019,0.99103,1.004822,0.987582,0.993493,0.898938,16119726,-0.59%,
29/10/2019,0.99497,1.00827,0.986104,1.001374,0.906069,28944554,0.79%,
30/10/2019,1.005314,1.01024,0.972116,0.988075,0.894035,27991533,-1.33%,
31/10/2019,0.989552,0.99103,0.958127,0.96916,0.876921,25442336,-1.91%,
1/11/2019,0.969554,0.983149,0.958718,0.978617,0.885477,21346872,0.98%,
4/11/2019,0.98709,1.007777,0.98709,1.003344,0.907851,22847949,2.53%,
5/11/2019,1.007284,1.026494,0.998418,1.025509,0.927907,35683760,2.21%,
6/11/2019,1.03339,1.054078,1.007777,1.013688,0.91721,38082500,-1.15%,
7/11/2019,1.019598,1.037331,1.007777,1.031912,0.9337,23463001,1.80%,
8/11/2019,1.024524,1.034375,1.008762,1.024524,0.927015,33576883,-0.72%,
11/11/2019,1.014673,1.03339,1.002851,1.030927,0.932809,18809874,0.63%,
12/11/2019,1.034375,1.047182,1.003837,1.006299,0.910525,31057206,-2.39%,
13/11/2019,0.998418,0.998418,0.957733,0.976253,0.883338,38878345,-2.99%,
14/11/2019,0.972116,0.974086,0.951034,0.960688,0.869255,28321734,-1.59%,
15/11/2019,0.966402,0.979209,0.953004,0.975268,0.882447,30717448,1.52%,
18/11/2019,0.975268,0.990045,0.964432,0.970539,0.878168,34595094,-0.48%,
19/11/2019,0.978223,0.994478,0.969357,0.975071,0.882269,20216874,0.47%,
20/11/2019,0.976253,0.986597,0.961082,0.984331,0.890648,18389109,0.95%,
21/11/2019,0.974283,1.010732,0.971131,1.006299,0.910525,24850442,2.23%,
22/11/2019,1.007284,1.026002,0.999404,1.013195,0.916765,33603110,0.69%,
25/11/2019,1.024524,1.027479,0.997433,0.997433,0.902503,33472303,-1.56%,
26/11/2019,1.003837,1.007777,0.986104,1.006299,0.910525,50846731,0.89%,
27/11/2019,1.00827,1.015165,0.998911,1.009255,0.9132,20268762,0.29%,
28/11/2019,1.005807,1.013688,0.999404,1.002851,0.907405,13472153,-0.63%,
29/11/2019,1.000389,1.003837,0.991523,0.992015,0.8976,21365708,-1.08%,
2/12/2019,0.993985,1.01024,0.983937,0.983937,0.890291,24168129,-0.81%,
3/12/2019,0.985612,0.998911,0.982558,0.986104,0.892252,46602116,0.22%,
4/12/2019,0.988075,1.018121,0.984725,1.018121,0.921222,26572376,3.25%,
5/12/2019,1.017136,1.030927,1.012703,1.013195,0.916765,101611334,-0.48%,
6/12/2019,1.016643,1.025017,1.007777,1.018613,0.921667,15466231,0.53%,
9/12/2019,1.016643,1.030927,1.015165,1.023539,0.926124,18791570,0.48%,
10/12/2019,1.022554,1.024524,0.999896,1.009255,0.9132,27391454,-1.40%,
11/12/2019,1.004822,1.023046,1.002359,1.021076,0.923895,22386458,1.17%,
12/12/2019,1.020091,1.078213,1.015658,1.068362,0.966681,48944172,4.63%,
13/12/2019,1.09496,1.112692,1.064914,1.066392,0.964898,44303851,-0.18%,
16/12/2019,1.07181,1.078213,1.062944,1.07181,0.969801,17304928,0.51%,
17/12/2019,1.064914,1.066884,1.044226,1.061959,0.960887,26696931,-0.92%,
18/12/2019,1.065899,1.076735,1.057033,1.070332,0.968464,16601879,0.79%,
19/12/2019,1.066392,1.087079,1.062944,1.087079,0.983617,19095857,1.56%,
20/12/2019,1.081,1.09,1.0725,1.0815,0.996631,39077145,1.32%,
23/12/2019,1.076,1.078,1.043,1.0465,0.964378,26419473,-3.24%,
24/12/2019,1.044,1.049,1.033,1.0475,0.965299,4574912,0.10%,
25/12/2019,1.0475,1.0475,1.0475,1.0475,0.965299,0,0.00%,
27/12/2019,1.0385,1.058,1.0385,1.0475,0.965299,11759385,0.00%,
30/12/2019,1.0405,1.0565,1.0405,1.045,0.962996,51240469,-0.24%,
31/12/2019,1.0385,1.046,1.034,1.04,0.958388,5437795,-0.48%,
2/01/2020,1.051,1.0785,1.05,1.069,0.985112,19672337,2.79%,
3/01/2020,1.063,1.063,1.044,1.057,0.974054,15947688,-1.12%,
6/01/2020,1.048,1.0585,1.028,1.055,0.972211,12983714,-0.19%,
7/01/2020,1.0575,1.0645,1.0465,1.056,0.973132,13531723,0.09%,
8/01/2020,1.046,1.073,1.044,1.0675,0.98373,16877149,1.09%,
9/01/2020,1.075,1.08,1.042,1.042,0.960231,43931205,-2.39%,
10/01/2020,1.048,1.048,1.02,1.021,0.940879,18719660,-2.02%,
13/01/2020,1.022,1.026,1.0135,1.0255,0.945026,16104012,0.44%,
14/01/2020,1.026,1.027,1.0105,1.02,0.939957,15297054,-0.54%,
15/01/2020,1.0165,1.02,0.9868,0.9928,0.914892,28317995,-2.67%,
16/01/2020,0.9962,1.0115,0.9802,1.006,0.927056,21568763,1.33%,
17/01/2020,1.013,1.024,1.0035,1.004,0.925213,15321927,-0.20%,
20/01/2020,1.002,1.0045,0.9844,0.9856,0.908257,12798648,-1.83%,
21/01/2020,0.9802,0.988,0.9604,0.964,0.888352,40121234,-2.19%,
